node2,node4,node5,node3,node6
2003,2443,2358,1342,2245
2003,2443,2250,1450,2245
2003,2443,2358,1450,2137
1895,2443,2358,1401,2294
1836,2443,2358,1460,2294
1895,2443,2358,1509,2186
1895,2443,2250,1509,2294
1836,2443,2358,1568,2186
1836,2443,2250,1568,2294
1895,2384,2250,1568,2294
2003,2443,2358,1509,2078
2003,2443,2358,1293,2294
1944,2443,2358,1460,2186
1944,2443,2358,1568,2078
2003,2384,2358,1568,2078
2003,2384,2250,1568,2186
2003,2384,2358,1460,2186
1944,2443,2358,1352,2294
2003,2384,2358,1352,2294
2120,2384,2311,1401,2128
2120,2384,2358,1401,2081
2120,2337,2358,1401,2128
2073,2384,2358,1401,2128
2228,2443,1811,1509,2353
2228,2443,1858,1509,2306
2228,2396,1858,1509,2353
2181,2443,1858,1509,2353
2228,2443,1966,1401,2353
2120,2443,1966,1509,2353
2228,2443,2025,1342,2353
2228,2384,2025,1401,2353
2120,2384,2025,1509,2353
2228,2443,2191,1401,2128
2120,2443,2191,1509,2128
2228,2443,2250,1342,2128
2228,2384,2250,1401,2128
2120,2384,2250,1509,2128
2228,2443,2025,1450,2245
2228,2443,2086,1450,2137
2228,2335,2086,1450,2245
2120,2443,2086,1450,2245
2228,2443,2133,1342,2245
2228,2396,2133,1450,2137
2181,2443,2133,1450,2137
2120,2396,2133,1450,2245
2073,2443,2133,1450,2245
2181,2335,2133,1450,2245
2228,2335,2027,1509,2245
2228,2396,2074,1509,2137
2181,2443,2074,1509,2137
2228,2288,2074,1509,2245
2181,2335,2074,1509,2245
2228,2443,2074,1401,2245
2228,2443,1966,1509,2245
2120,2443,2074,1509,2245
2120,2335,2074,1509,2353
2228,2384,2025,1509,2245
2228,2335,2025,1509,2294
2228,2384,2133,1401,2245
2228,2335,2133,1509,2186
2120,2384,2133,1509,2245
2120,2335,2133,1509,2294
2120,2276,2133,1509,2353
2228,2443,2252,1509,1912
2228,2443,2191,1509,2020
2228,2443,2299,1401,2020
2228,2443,2299,1509,1865
2228,2396,2299,1509,1912
2181,2443,2299,1509,1912
2120,2443,2299,1509,2020
2120,2335,2299,1509,2128
2228,2335,2250,1509,2069
2228,2443,2250,1450,2020
2228,2384,2250,1509,2020
2228,2443,2358,1342,2020
2228,2384,2358,1401,2020
2228,2443,2311,1450,1912
2120,2443,2311,1450,2020
2228,2396,2358,1450,1912
2181,2443,2358,1450,1912
2120,2396,2358,1450,2020
2073,2443,2358,1450,2020
2120,2384,2358,1509,2020
2120,2335,2358,1509,2069
2120,2276,2358,1509,2128
2120,2278,2358,1460,2128
2061,2337,2358,1460,2128
2061,2396,2358,1509,2020
2061,2396,2133,1509,2245
2169,2288,2358,1509,2020
2169,2396,2358,1509,1912
2169,2396,2133,1509,2137
2061,2337,2358,1568,2020
2120,2278,2358,1568,2020
2228,2278,2358,1568,1912
2061,2337,2133,1568,2245
2120,2278,2133,1568,2245
2228,2278,2133,1568,2137
2061,2396,2133,1568,2186
2169,2396,2133,1568,2078
2169,2443,2191,1568,2020
2228,2384,2191,1568,2020
2228,2384,2299,1568,1912
2169,2443,2299,1568,1912
2228,2276,2299,1568,2020
2228,2384,2299,1460,2020
2169,2335,2299,1568,2020
2169,2443,2299,1460,2020
2228,2384,2083,1568,2128
2228,2276,2191,1568,2128
2169,2335,2191,1568,2128
2169,2443,2191,1460,2128
2120,2384,2299,1568,2020
2120,2276,2299,1568,2128
2228,2276,2299,1460,2128
2120,2384,2191,1568,2128
2228,2384,2191,1460,2128
2120,2384,2299,1460,2128
2228,2384,2299,1352,2128
2169,2335,2299,1460,2128
2061,2443,2299,1568,2020
2061,2443,2191,1568,2128
2061,2443,2299,1460,2128
2228,2276,2074,1568,2245
2228,2276,1966,1568,2353
2228,2276,2074,1460,2353
2169,2335,2074,1568,2245
2169,2335,1966,1568,2353
2061,2335,2074,1568,2353
2169,2335,2074,1460,2353
2228,2384,1966,1568,2245
2228,2384,2074,1568,2137
2120,2384,2074,1568,2245
2228,2384,1858,1568,2353
2228,2384,1966,1460,2353
2120,2384,2074,1460,2353
2169,2443,1966,1568,2245
2169,2443,2074,1568,2137
2169,2443,2074,1460,2245
2061,2443,1966,1568,2353
2169,2443,1966,1460,2353
2061,2443,2074,1460,2353
2061,2443,2074,1568,2245
2228,2217,2250,1568,2128
2228,2217,2025,1568,2353
2228,2325,2250,1568,2020
2228,2325,2142,1568,2128
2228,2325,2025,1568,2245
2228,2325,1917,1568,2353
2228,2276,2250,1568,2069
2228,2276,2250,1509,2128
2228,2384,2142,1568,2069
2228,2384,2250,1460,2069
2228,2384,1917,1568,2294
2228,2384,1917,1509,2353
2073,2325,2133,1568,2245
2181,2325,2133,1568,2137
2228,2384,2133,1509,2137
2120,2325,2086,1568,2245
2228,2325,2086,1568,2137
2228,2276,2133,1401,2353
2228,2217,2133,1460,2353
2228,2276,2133,1460,2294
2228,2276,2133,1568,2186
2120,2217,2133,1568,2353
2228,2325,2133,1460,2245
2228,2325,2133,1352,2353
2120,2325,2133,1460,2353
2120,2384,2133,1401,2353
2228,2384,2133,1293,2353
2228,2384,2133,1352,2294
2228,2325,2025,1460,2353
2120,2325,2025,1568,2353
2228,2276,2358,1401,2128
2228,2384,2358,1293,2128
2228,2384,2358,1352,2069
2228,2276,2358,1460,2069
2073,2325,2358,1460,2128
2120,2325,2311,1460,2128
2120,2384,2358,1460,2069
2228,2325,2358,1460,2020
2228,2384,2358,1509,1912
2073,2325,2358,1568,2020
2120,2325,2311,1568,2020
2181,2325,2358,1568,1912
2228,2325,2311,1568,1912
2014,2384,2358,1568,2020
2014,2384,2133,1568,2245
2014,2443,2358,1509,2020
2014,2443,2133,1509,2245
2014,2443,2133,1568,2186
2122,2443,2358,1509,1912
2122,2443,2133,1509,2137
2122,2443,2133,1568,2078
2014,2384,2358,1460,2128
2122,2335,2358,1509,2020
2061,2335,2133,1509,2353
2061,2276,2133,1568,2353
2061,2276,2358,1568,2128
2061,2335,2133,1568,2294
2061,2384,2311,1460,2128
2061,2384,2358,1460,2081
2061,2384,2133,1460,2353
2061,2443,2358,1401,2128
2061,2443,2133,1401,2353
2061,2384,2086,1568,2245
2061,2384,2025,1568,2353
2061,2384,2250,1568,2128
2061,2384,2358,1568,1973
2061,2384,2311,1568,2020
2061,2443,2086,1509,2245
2061,2443,2311,1509,2020
2061,2443,2358,1509,1973
2061,2443,2025,1509,2353
2061,2443,2133,1568,2139
2061,2443,2358,1568,1961
2061,2443,2086,1568,2186
2061,2443,2025,1568,2294
2169,2335,2311,1509,2020
2169,2335,2358,1509,1973
2169,2335,2133,1401,2353
2169,2335,2250,1509,2128
2169,2276,2358,1460,2128
2169,2276,2250,1568,2128
2169,2276,2025,1568,2353
2169,2335,2250,1568,2069
2169,2335,2025,1568,2294
2169,2384,2133,1460,2245
2169,2384,2358,1568,1912
2169,2384,2133,1568,2137
2169,2384,2133,1352,2353
2169,2384,2025,1460,2353
2169,2384,2250,1460,2128
2169,2384,1917,1568,2353
2169,2384,2250,1568,2020
2169,2443,2133,1293,2353
2169,2443,2025,1401,2353
2169,2443,2086,1509,2137
2169,2443,2025,1509,2245
2169,2443,2358,1293,2128
2169,2443,2358,1401,2020
2169,2443,2142,1509,2128
2169,2443,2250,1509,2020
2169,2443,2311,1509,1912
2169,2443,2358,1509,1865
2169,2443,2250,1460,2069
2169,2443,2358,1460,1961
2169,2443,2025,1460,2294
2169,2443,1917,1568,2294
2169,2443,2025,1568,2186
2169,2443,2086,1568,2078
2169,2443,2358,1568,1853
2169,2443,2250,1568,1961
1895,2062,2358,1568,2461
1895,2170,2358,1460,2461
2003,2121,2191,1568,2461
1895,2121,2358,1568,2402
2003,2121,2358,1460,2402
2003,2121,2299,1568,2353
1944,2229,2358,1352,2461
1836,2229,2358,1460,2461
1944,2288,2358,1293,2461
2003,2288,2299,1293,2461
1836,2288,2358,1401,2461
1895,2288,2358,1460,2343
1944,2288,2191,1460,2461
1944,2180,2191,1568,2461
1944,2180,2299,1568,2353
2003,2180,2299,1401,2461
2003,2180,2299,1460,2402
1895,2180,2299,1568,2402
1944,2121,2358,1460,2461
1836,2121,2358,1568,2461
1836,2180,2358,1509,2461
1836,2180,2358,1568,2402
1944,2180,2250,1568,2402
1944,2180,2358,1401,2461
2003,2180,2358,1401,2402
1944,2180,2358,1460,2402
1944,2180,2358,1509,2353
1944,2288,2083,1568,2461
1944,2288,2142,1509,2461
1895,2396,2142,1568,2343
1895,2396,2250,1460,2343
2003,2396,2250,1352,2343
1944,2396,2034,1568,2402
1836,2396,2250,1460,2402
1895,2396,2083,1568,2402
2003,2396,1975,1568,2402
2003,2337,1975,1568,2461
2003,2396,2034,1450,2461
1895,2337,2083,1568,2461
1895,2337,2191,1460,2461
1895,2396,2358,1352,2343
2003,2396,2358,1244,2343
1836,2396,2358,1352,2402
1895,2396,2358,1293,2402
1944,2396,2358,1244,2402
2003,2396,2299,1244,2402
1944,2337,2358,1244,2461
2003,2396,2358,1126,2461
2003,2396,2299,1185,2461
2003,2278,2358,1244,2461
1895,2396,2358,1234,2461
1895,2396,2299,1293,2461
1895,2396,2299,1352,2402
1895,2278,2358,1352,2461
1944,2335,2144,1460,2461
1895,2384,2144,1460,2461
2003,2384,1928,1568,2461
2003,2443,1928,1568,2402
1944,2335,2036,1568,2461
1895,2384,2036,1568,2461
1895,2443,2036,1568,2402
2003,2443,1987,1450,2461
1944,2443,1987,1568,2402
1944,2335,2095,1509,2461
2003,2443,2203,1352,2343
1895,2443,2095,1568,2343
1836,2443,2203,1460,2402
1895,2443,2203,1460,2343
1836,2227,2311,1509,2461
1836,2335,2311,1401,2461
1944,2335,2311,1293,2461
1944,2227,2311,1401,2461
1944,2227,2311,1509,2353
2003,2335,2311,1234,2461
2003,2227,2311,1342,2461
2003,2227,2203,1450,2461
2003,2227,2311,1450,2353
2003,2227,2311,1401,2402
2003,2443,2311,1126,2461
1895,2443,2311,1234,2461
1895,2443,2311,1293,2402
2003,2168,2203,1568,2402
2003,2168,2144,1568,2461
1944,2227,2144,1568,2461
1944,2227,2203,1568,2402
2003,2335,2252,1293,2461
2003,2443,2252,1185,2461
2003,2443,2252,1244,2402
1895,2443,2252,1293,2461
1895,2443,2252,1352,2402
2003,2168,2252,1568,2353
1944,2227,2252,1568,2353
2003,2227,2252,1401,2461
2003,2227,2252,1460,2402
1895,2227,2252,1568,2402
2003,2227,2311,1568,2235
2003,2168,2311,1568,2294
2003,2335,2311,1352,2343
1895,2335,2311,1460,2343
2003,2168,2311,1460,2402
1895,2168,2311,1568,2402
1836,2227,2311,1568,2402
1944,2227,2311,1460,2402
1836,2168,2311,1568,2461
1836,2276,2311,1460,2461
1895,2109,2311,1568,2461
1895,2217,2311,1460,2461
2003,2109,2311,1568,2353
1944,2168,2311,1568,2353
1944,2168,2311,1460,2461
1944,2276,2311,1352,2461
2003,2109,2311,1460,2461
1895,2443,2311,1352,2343
2003,2443,2311,1244,2343
1895,2325,2311,1352,2461
2003,2325,2311,1244,2461
1944,2443,2311,1244,2402
1836,2443,2311,1352,2402
1944,2384,2311,1244,2461
2003,2227,2358,1401,2355
2003,2443,2250,1293,2402
2003,2335,2358,1293,2402
1956,2227,2358,1401,2402
2003,2335,2358,1234,2414
2003,2227,2358,1342,2414
1956,2335,2358,1234,2461
1956,2227,2358,1342,2461
2003,2443,2358,1126,2414
1956,2443,2358,1126,2461
2003,2443,2299,1185,2414
1956,2443,2299,1185,2461
2003,2443,2299,1293,2353
2003,2335,2299,1293,2414
1956,2335,2299,1293,2461
2003,2227,2299,1401,2414
1956,2227,2299,1401,2461
2003,2443,2358,1234,2353
2003,2335,2358,1342,2353
2003,2335,2299,1401,2353
2003,2227,2299,1509,2353
2003,2227,2358,1509,2294
1956,2227,2358,1450,2353
2003,2168,2358,1509,2353
1895,2443,2250,1450,2353
1895,2335,2358,1450,2353
2003,2443,2250,1234,2461
1895,2443,2358,1234,2414
1848,2443,2358,1234,2461
2003,2443,2142,1342,2461
2003,2335,2250,1342,2461
2003,2443,2034,1450,2414
1956,2443,2034,1450,2461
2003,2335,2142,1450,2461
2003,2227,2250,1450,2414
1956,2227,2250,1450,2461
1895,2443,2142,1450,2461
1895,2443,2250,1342,2461
1895,2335,2250,1450,2461
1895,2335,2358,1342,2461
1895,2227,2358,1450,2461
2003,2443,2191,1293,2461
2003,2384,2250,1293,2461
1895,2443,2299,1293,2414
1848,2443,2299,1293,2461
1895,2443,2358,1293,2355
1848,2443,2358,1293,2402
2003,2443,2083,1401,2461
2003,2384,2142,1401,2461
1895,2443,2191,1401,2461
1895,2443,2250,1401,2402
1895,2384,2250,1401,2461
2003,2335,2191,1401,2461
2003,2276,2250,1401,2461
1895,2335,2299,1401,2461
1895,2335,2358,1401,2402
1895,2276,2358,1401,2461
2003,2443,1975,1509,2461
1895,2443,2083,1509,2461
2003,2335,2083,1509,2461
1895,2335,2191,1509,2461
2003,2227,2191,1509,2461
1895,2227,2299,1509,2461
2003,2335,2250,1401,2402
2003,2443,2034,1509,2402
2003,2384,2034,1509,2461
2003,2335,2142,1509,2402
2003,2276,2142,1509,2461
2003,2227,2250,1509,2402
2003,2168,2250,1509,2461
1895,2443,2142,1509,2402
1895,2384,2142,1509,2461
1895,2335,2250,1509,2402
1895,2276,2250,1509,2461
1895,2227,2358,1509,2402
1895,2168,2358,1509,2461
1956,2384,1975,1568,2461
2003,2384,1975,1568,2414
1956,2443,1975,1568,2402
1944,2443,1975,1568,2461
2003,2443,1975,1568,2355
1944,2443,2083,1460,2461
1897,2335,2083,1568,2461
1944,2335,2083,1568,2414
2003,2335,2083,1568,2402
2003,2384,2083,1460,2461
2003,2443,2083,1460,2402
2003,2276,2083,1568,2461
1944,2443,2191,1352,2461
2003,2443,2191,1352,2402
1897,2335,2191,1460,2461
1944,2335,2191,1460,2414
2003,2335,2191,1460,2402
2003,2276,2191,1460,2461
1956,2168,2191,1568,2461
2003,2168,2191,1568,2414
1897,2227,2191,1568,2461
1944,2227,2191,1568,2414
2003,2227,2191,1568,2402
2003,2335,2191,1568,2294
2003,2384,2034,1568,2402
2003,2384,2142,1460,2402
2003,2276,2142,1568,2402
1944,2443,2034,1509,2461
1897,2443,2034,1568,2402
1944,2443,2034,1568,2355
2003,2443,2034,1568,2343
1944,2443,2142,1401,2461
2003,2443,2142,1401,2402
1897,2335,2142,1509,2461
1944,2335,2142,1509,2414
1944,2443,2142,1460,2402
1944,2335,2142,1568,2402
1944,2276,2142,1568,2461
2003,2217,2142,1568,2461
2003,2335,2142,1568,2343
2003,2325,2142,1460,2461
1944,2384,2142,1460,2461
2003,2443,2142,1460,2343
2003,2443,2142,1568,2235
1944,2443,2250,1293,2461
1944,2335,2250,1401,2461
1944,2227,2250,1509,2461
1956,2168,2250,1568,2402
2003,2217,2250,1460,2461
2003,2325,2250,1352,2461
